"ID","TERM","DATE_TAKEN","HOURS","HOURS_ATTEMPTED","GRADE_CODE","COURSE_ID","TITLE"
999,"2016/SP",2016-02-29,3,3,"A","HSC*304","EXERCISE FOR HEALTH"
999,"2015/SU",2015-06-29,3,3,"A","BUS*311","ORGANIZATIONAL BEHAVIOR"
999,"2015/FA",2015-10-19,3,3,"A","HSC*320","HEALTH CARE ISSUES IN CULTURALLY DIVERSE POPULATIONS"
999,"2016/SP",2016-01-04,3,3,"A","CJ*228","MULTICULTURAL ISSUES IN CRIMINAL JUSTICE"
999,"2016/SP",2016-02-29,3,3,"B","PSY*360","SOCIAL PSYCHOLOGY"
999,"2016/SU",2016-05-02,3,3,"A","MAT*101","MATHEMATICS FOR EVERYDAY LIFE"
999,"2016/SP",2016-02-29,3,3,"B","CJ*330","JUDICIAL PROCESS"
999,"2015/FA",2015-08-24,3,3,"A","HUM*300","ETHICS"
999,"2015/FA",2015-10-19,3,3,"A","CJ*101","INTRODUCTION TO CRIMINAL JUSTICE"
999,"2016/SP",2016-02-29,3,3,"A","CJ*372","CRIME RECONSTRUCTION"
999,"2015/FA",2015-10-19,3,3,"B","BIO*275","BIOETHICS"
999,"2016/SP",2016-01-04,3,3,"B","PBH*321","INTRODUCTION TO EPIDEMIOLOGY"
999,"2015/SU",2015-05-04,3,3,"B","HUM*210","CULTURAL DIVERSITY"
999,"2016/SU",2016-05-02,3,3,"B","LA*498","LIBERAL ARTS CAPSTONE"
999,"2015/FA",2015-10-19,3,3,"A","COMM*320","COMMUNICATION AND DIVERSITY"
999,"2015/SU",2015-06-29,3,3,"A","BUS*225","CONSUMER BEHAVIORS"
999,"2015/FA",2015-08-24,3,3,"A","BUS*323","BUSINESS ETHICS"
999,"2016/SP",2016-01-04,3,3,"A","CJ*301","JUVENILE DELINQUENCY AND JUSTICE"
999,"2015/SU",2015-05-04,3,3,"C","ENG*102","COMPOSITION II"
999,"2015/FA",2015-08-24,3,3,"A","HIS*101","UNITED STATES HISTORY I"
9755,"2015/SP",2015-01-05,0,4,"W","NUR*531","HEALTH CARE DELIVERY SYSTEMS: SOCIAL, POLITICAL, AND ECONOMIC INFLUENCES"
9755,"2015/SU",2015-06-29,0,4,"F","NUR*531","HEALTH CARE DELIVERY SYSTEMS: SOCIAL, POLITICAL, AND ECONOMIC INFLUENCES"
9755,"2015/SP",2015-01-05,0,4,"W","NUR*541","COMMUNITY NURSING: HUMAN DIVERSITY AND PUBLIC HEALTH"
9755,"2016/SP",2016-01-04,0,4,"W","NUR*541","COMMUNITY NURSING: HUMAN DIVERSITY AND PUBLIC HEALTH"
9755,"2015/FA",2015-10-19,4,4,"D","NUR*531","HEALTH CARE DELIVERY SYSTEMS: SOCIAL, POLITICAL, AND ECONOMIC INFLUENCES"
9755,"2015/SP",2015-03-02,0,4,"W","NUR*531","HEALTH CARE DELIVERY SYSTEMS: SOCIAL, POLITICAL, AND ECONOMIC INFLUENCES"
9755,"2016/SU",2016-06-27,0,4,"I","NUR*531","HEALTH CARE DELIVERY SYSTEMS: SOCIAL, POLITICAL, AND ECONOMIC INFLUENCES"
4656,"2015/FA",2015-11-04,0,0,"P","CCS*100","EC STUDENT EXPERIENCE"
4966,"2016/SP",2016-01-04,4,4,"A","NUR*462","NURSING CAPSTONE"
4966,"2016/SU",2016-05-02,3,3,"A","PBH*346","POST TRAUMATIC STRESS DISORDER: A GATHERING STORM"
115,"2016/SP",2016-01-04,3,3,"B","MAT*215","STATISTICS FOR HEALTH CARE PROFESSIONALS"
115,"2016/SU",2016-05-02,4,4,"C","NUR*513","RESEARCH AND EVIDENCE-BASED PRACTICE"
3511,"2015/FA",2015-08-24,5,5,"A","NUR*644","CAPSTONE EXPERIENCE"
3511,"2015/SU",2015-05-04,3,3,"A","NUR*635","LEADERSHIP IN ORGANIZATIONAL SYSTEMS"
3511,"2015/SU",2015-05-04,3,3,"A","NUR*625","MANAGEMENT OF FISCAL AND OPERATIONAL SYSTEMS"
3511,"2015/SP",2015-01-05,4,4,"A","NUR*531","HEALTH CARE DELIVERY SYSTEMS: SOCIAL, POLITICAL, AND ECONOMIC INFLUENCES"
3511,"2015/SU",2015-05-04,3,3,"A","NUR*615","MANAGEMENT OF CLINICAL SYSTEMS"
3511,"2015/SP",2015-03-02,3,3,"A","NUR*680","MANAGEMENT INFORMATION FOR DECISION SUPPORT"
3511,"2015/SP",2015-01-05,4,4,"A","NUR*541","COMMUNITY NURSING: HUMAN DIVERSITY AND PUBLIC HEALTH"
3511,"2015/SP",2015-03-02,4,4,"B","NUR*513","RESEARCH AND EVIDENCE-BASED PRACTICE"
3511,"2015/SP",2015-01-05,2,2,"A","HINF*553","ISSUES IN HEALTHCARE INFORMATICS"
7820,"2015/SP",2015-03-02,3,3,"C","BIO*110","BIOLOGY (NON-LAB)"
7820,"2015/SP",2015-01-05,0,3,"F","BIO*212","MICROBIOLOGY"
7820,"2015/SP",2015-01-05,0,3,"F","GEOL*114","INTRODUCTION TO OCEANOGRAPHY"
3180,"2015/SU",2015-06-29,0,3,"F","MPA*602","PUBLIC MANAGEMENT IN A POLITICAL ENVIRONMENT"
3474,"2015/SP",2015-01-05,4,4,"A","NUR*456","LEADERSHIP AND MANAGEMENT IN NURSING"
3474,"2015/SU",2015-05-04,4,4,"A","NUR*462","NURSING CAPSTONE"
2805,"2015/SP",2015-01-05,3,3,"B","CYS*575","IT RISK ANALYSIS AND MANAGEMENT"
2805,"2015/FA",2015-08-24,3,3,"A","CYS*526","CYBER ATTACKS AND DEFENSE"
2805,"2015/FA",2015-10-19,4,4,"A","CYS*595","CAPSTONE PROJECT IN CYBERSECURITY"
2805,"2015/SP",2015-03-02,3,3,"A","CYS*522","ADVANCED NETWORKING"
2805,"2015/SU",2015-06-29,3,3,"A","CYS*541","ETHICS, LEGAL, AND COMPLIANCE ISSUES IN CYBERSECURITY"
8785,"2015/SU",2015-06-29,3,3,"C","NUR*108","TRANSITION TO THE PROFESSIONAL NURSE ROLE"
8785,"2015/SP",2015-03-02,3,3,"D","NUR*209","REPRODUCTIVE HEALTH"
8785,"2015/SP",2015-01-05,3,3,"C","NUR*211","HEALTH DIFFERENCES ACROSS THE LIFESPAN 1"
8785,"2015/SU",2015-06-29,3,3,"B","NUR*209","REPRODUCTIVE HEALTH"
651,"2015/FA",2015-08-22,0,0,"P","CCS*100","EC STUDENT EXPERIENCE"
651,"2015/SU",2015-06-29,1,1,"P","INL*102","INFORMATION LITERACY"
651,"2015/FA",2015-08-24,3,3,"A","ENG*201","WRITING FOR THE PROFESSIONS "
651,"2016/SU",2016-05-02,3,3,"B","MAT*215","STATISTICS FOR HEALTH CARE PROFESSIONALS"
651,"2016/SU",2016-05-02,2,2,"A","NUR*338","INTRODUCTION TO INFORMATICS  FOR NURSES"
651,"2016/SP",2016-02-29,3,3,"A","NUR*418","HUMAN RESOURCE MANAGEMENT IN HEALTH CARE ORGANIZATIONS"
651,"2016/SP",2016-01-04,3,3,"A","HSC*312","ETHICS OF HEALTH CARE"
3161,"2015/SU",2015-05-04,3,3,"A","TECH*495","INTEGRATED TECHNOLOGY ASSESSMENT BST"
3161,"2015/SP",2015-01-05,3,3,"A","TECH*205","DISCRETE STRUCTURES"
3161,"2015/SP",2015-01-05,3,3,"A","MAT*118","TRIGONOMETRY"
3161,"2015/FA",2015-08-16,0,0,"P","CCS*100","EC STUDENT EXPERIENCE"
6111,"2015/SU",2015-05-15,0,0,"P","CCS*100","EC STUDENT EXPERIENCE"
6111,"2015/SU",2015-06-29,3,3,"A","LA*498","LIBERAL ARTS CAPSTONE"
6111,"2015/SU",2015-05-04,1,1,"P","INL*102","INFORMATION LITERACY"
4445,"2015/SU",2015-06-29,1,1,"P","INL*102","INFORMATION LITERACY"
969,"2015/SP",2015-01-05,3,3,"B","NUR*665","THEORIES AND METHODS OF TEACHING WITH TECHNOLOGIES"
969,"2015/SP",2015-03-02,3,3,"A","NUR*650","DESIGNING A STUDENT LEARNING ENVIRONMENT"
969,"2015/SU",2015-05-04,3,3,"B","NUR*690","LEADERSHIP IN NURSING EDUCATION"
1921,"2016/SU",2016-05-02,4,4,"A","CYS*585","DIGITAL CRIME PREVENTION AND INVESTIGATION"
1921,"2016/SP",2016-01-04,4,4,"A","CYS*503","COMMUNICATIONS AND NETWORK SECURITY"
1921,"2015/SU",2015-06-29,3,3,"A","CYS*522","ADVANCED NETWORKING"
5856,"2015/SP",2015-01-05,5,5,"A","NUR*685","NURSING  INFORMATICS CAPSTONE"
5892,"2016/SU",2016-05-02,0,4,"AW","HSC*220","SPANISH COMMUNICATION FOR THE HEALTH CARE PROFESSIONS"
5892,"2015/FA",2015-08-10,0,0,"P","CCS*100","EC STUDENT EXPERIENCE"
5892,"2015/SU",2015-06-29,2,2,"A","NUR*338","INTRODUCTION TO INFORMATICS  FOR NURSES"
3751,"2015/SU",2015-06-29,1,1,"P","INL*102","INFORMATION LITERACY"
3751,"2016/SP",2016-01-04,3,3,"A","BIO*340","BIODIVERSITY"
3751,"2015/FA",2015-12-19,0,0,"P","CCS*100","EC STUDENT EXPERIENCE"
3751,"2016/SU",2016-05-02,3,3,"A","LA*498","LIBERAL ARTS CAPSTONE"
563,"2016/SP",2016-01-04,3,3,"A","CYS*575","IT RISK ANALYSIS AND MANAGEMENT"
563,"2015/SP",2015-01-05,4,4,"A","CYS*501","COMMUNICATIONS SECURITY"
5949,"2015/SP",2015-01-05,3,3,"A","LA*498","LIBERAL ARTS CAPSTONE"
3208,"2015/FA",2015-08-24,4,4,"A","NUR*462","NURSING CAPSTONE"
3208,"2015/SU",2015-05-04,4,4,"A","NUR*448","COMMUNITY HEALTH NURSING: CARING FOR THE PUBLIC'S HEALTH"
4580,"2015/SU",2015-05-04,4,4,"A","NUR*462","NURSING CAPSTONE"
4580,"2015/SU",2015-05-04,3,3,"B","HSC*105","ANATOMY AND PHYSIOLOGY I (NON LAB)"
4580,"2015/SP",2015-01-05,3,3,"A","NUR*336","THE PROFESSION OF NURSING: BECOMING INFLUENTIAL"
4580,"2015/SP",2015-03-02,3,3,"A","NUR*430","RESEARCH IN NURSING"
4580,"2015/SP",2015-01-05,3,3,"A","NUR*446","TEACHING AND LEARNING IN A DIVERSE SOCIETY"
4580,"2015/SP",2015-03-02,3,3,"A","MAT*201","STATISTICS"
608,"2016/SU",2016-05-02,3,3,"D","NUR*104","ESSENTIALS OF NURSING CARE: HEALTH SAFETY"
608,"2016/SP",2016-02-29,0,3,"F","NUR*108","TRANSITION TO THE PROFESSIONAL NURSE ROLE"
608,"2015/FA",2015-10-19,3,3,"B","BIO*212","MICROBIOLOGY"
608,"2015/SP",2015-01-05,3,3,"B","ENG*101N","COMPOSITION FOR THE NURSING PROFESSIONAL"
608,"2016/SP",2016-02-29,3,3,"D","NUR*105","ESSENTIALS OF NURSING CARE: HEALTH DIFFERENCES"
608,"2015/SP",2015-01-05,3,3,"D","HSC*106","ANATOMY AND PHYSIOLOGY II (NON LAB)"
608,"2015/SP",2015-03-02,3,3,"D","BIO*212","MICROBIOLOGY"
9047,"2015/FA",2015-08-24,5,5,"A","NUR*670","NURSING EDUCATION CAPSTONE"
9047,"2015/SP",2015-01-05,3,3,"A","NUR*650","DESIGNING A STUDENT LEARNING ENVIRONMENT"
9047,"2015/SU",2015-05-04,3,3,"A","NUR*660","EVALUATION AND ASSESSMENT IN NURSING EDUCATION"
9047,"2015/SP",2015-03-02,3,3,"A","NUR*665","THEORIES AND METHODS OF TEACHING WITH TECHNOLOGIES"
9047,"2015/SP",2015-01-05,3,3,"A","NUR*655","CURRICULUM AND PROGRAM PLANNING"
9047,"2015/SU",2015-05-04,3,3,"A","NUR*690","LEADERSHIP IN NURSING EDUCATION"
1245,"2015/FA",2015-09-23,0,0,"P","CCS*100","EC STUDENT EXPERIENCE"
7140,"2015/SU",2015-06-29,1,1,"P","INL*102","INFORMATION LITERACY"
7140,"2015/FA",2015-08-24,3,3,"A","LA*498","LIBERAL ARTS CAPSTONE"
7140,"2015/SU",2015-06-06,0,0,"P","CCS*100","EC STUDENT EXPERIENCE"
7134,"2015/SP",2015-04-21,0,0,"P","CCS*100","EC STUDENT EXPERIENCE"
7134,"2015/SP",2015-03-02,3,3,"B","HUM*200","INTRODUCTION TO HUMANITIES"
7134,"2015/FA",2015-08-24,3,3,"A","HSC*312","ETHICS OF HEALTH CARE"
7134,"2015/SU",2015-05-04,1,1,"P","INL*102","INFORMATION LITERACY"
7134,"2016/SP",2016-02-29,3,3,"A","NUR*430","RESEARCH IN NURSING"
7134,"2016/SP",2016-02-29,3,3,"A","NUR*446","TEACHING AND LEARNING IN A DIVERSE SOCIETY"
7134,"2016/SU",2016-05-02,4,4,"A","NUR*456","LEADERSHIP AND MANAGEMENT IN NURSING"
7134,"2016/SU",2016-05-02,4,4,"B","NUR*342","HOLISTIC HEALTH CARE ACROSS THE LIFESPAN"
7134,"2015/SU",2015-05-04,3,3,"A","ENG*201","WRITING FOR THE PROFESSIONS "
7134,"2016/SP",2016-01-04,2,2,"A","NUR*338","INTRODUCTION TO INFORMATICS  FOR NURSES"
