"ID","INCOME_RANGE_CODE","EMPLOYMENT_LVL_CODE","ENGLISH_LANGUAGE_NATIVE","HIGHEST_ED_LVL_CODE_MOTHER","HIGHEST_ED_LVL_CODE_FATHER"
999,"01-LT25K","3","Y","05-BACC","02-HS_GRAD"
6872,"07-LT100K","1","Y","02-HS_GRAD","02-HS_GRAD"
9755,"07-LT100K","2","Y","02-HS_GRAD","03-SOMECOL"
4656,"05-LT70K","3","Y","04-ASSOC","03-SOMECOL"
4966,"07-LT100K","3","Y","00-UNKNOWN","00-UNKNOWN"
9394,"06-LT85K","2","Y","03-SOMECOL","02-HS_GRAD"
115,"05-LT70K","3","Y","01-HS_DNF","01-HS_DNF"
3511,"04-LT55K","3","Y","03-SOMECOL","03-SOMECOL"
7820,"01-LT25K","1","Y","01-HS_DNF","01-HS_DNF"
3180,"09-GE120K","3","Y","04-ASSOC","02-HS_GRAD"
2218,"07-LT100K","3","Y","02-HS_GRAD","02-HS_GRAD"
3474,"05-LT70K","3","Y","02-HS_GRAD","04-ASSOC"
2805,"07-LT100K",NA,"Y","03-SOMECOL","07-DOCTOR"
8785,"01-LT25K","1",NA,NA,NA
651,"07-LT100K","3","Y","03-SOMECOL","03-SOMECOL"
3161,"08-LT120K","3","Y","07-DOCTOR","05-BACC"
4339,"06-LT85K","3","Y","01-HS_DNF","00-UNKNOWN"
6111,"06-LT85K","3","Y","01-HS_DNF","02-HS_GRAD"
4445,"04-LT55K","3","Y","01-HS_DNF","02-HS_GRAD"
969,"08-LT120K",NA,"N","01-HS_DNF","02-HS_GRAD"
1921,"01-LT25K","2","Y","07-DOCTOR","05-BACC"
1394,"04-LT55K","2","Y","02-HS_GRAD","03-SOMECOL"
5856,"09-GE120K",NA,"Y","06-MASTER","05-BACC"
5892,"04-LT55K","3","Y","02-HS_GRAD","02-HS_GRAD"
3751,"05-LT70K","3","Y","02-HS_GRAD","01-HS_DNF"
7954,"01-LT25K","1","Y","01-HS_DNF","04-ASSOC"
563,"09-GE120K","3","Y","02-HS_GRAD","02-HS_GRAD"
18,"08-LT120K","3","Y","02-HS_GRAD","05-BACC"
5949,"08-LT120K","1","Y","01-HS_DNF","02-HS_GRAD"
3208,"05-LT70K","2","Y","02-HS_GRAD","01-HS_DNF"
9255,"04-LT55K","1","Y","01-HS_DNF","01-HS_DNF"
3921,"06-LT85K","3","Y","04-ASSOC","00-UNKNOWN"
9699,"05-LT70K","3","Y","02-HS_GRAD","04-ASSOC"
4580,"01-LT25K","1","Y","00-UNKNOWN","00-UNKNOWN"
608,"04-LT55K","3","Y","01-HS_DNF","01-HS_DNF"
9047,"07-LT100K","1","Y","04-ASSOC","06-MASTER"
1245,"01-LT25K","1","Y","02-HS_GRAD","02-HS_GRAD"
5415,"02-LT35K","3","Y","05-BACC","03-SOMECOL"
7140,"06-LT85K","1","N","07-DOCTOR","05-BACC"
7134,"05-LT70K","1","Y","02-HS_GRAD","03-SOMECOL"
5237,"08-LT120K","3","Y","05-BACC","07-DOCTOR"
6954,"01-LT25K","2","Y","01-HS_DNF","01-HS_DNF"
175,"09-GE120K",NA,"Y","02-HS_GRAD","03-SOMECOL"
2418,"04-LT55K","3","N","00-UNKNOWN","06-MASTER"
9333,"04-LT55K","3","Y","02-HS_GRAD","03-SOMECOL"
